hpf,lpf,harmonics,window_s,ema_alpha,accuracy,L_accuracy,R_accuracy,n_trials,lat_first_p50_ms,lat_first_p95_ms,lat_sus_p50_ms,lat_sus_p95_ms,lat_sus_n
8.0,80.0,10,4.0,0.5,0.65,1.0,0.3,40,676.0001182556152,4399.000036716461,636.0001564025879,4672.800064086913,29
8.0,45.0,10,0.5,0.5,0.5,1.0,0.0,40,245.99993228912354,3728.4501791000353,136.0001564025879,3500.7999420166007,37
12.0,45.0,7,1.0,0.5,0.9,0.95,0.85,40,162.5000238418579,1780.1499605178833,661.9999408721924,2004.3499469757066,40
16.0,45.0,3,2.5,0.0,0.85,0.9,0.8,40,481.9999933242798,2058.5999965667725,1216.0000801086426,3155.2500128746033,36
8.0,80.0,3,4.0,0.3,0.675,1.0,0.35,40,720.9999561309814,4450.900030136107,716.0000801086426,4412.000083923337,29
3.0,30.0,5,4.0,0.5,0.675,1.0,0.35,40,671.9999313354492,4379.400014877319,671.9999313354492,4401.000022888184,31
3.0,30.0,7,1.0,0.5,0.625,1.0,0.25,40,195.9998607635498,4214.700126647951,191.9999122619629,3304.5500397682167,34
16.0,60.0,7,1.0,0.3,0.8,1.0,0.6,40,151.99995040893555,1526.4500975608805,400.00009536743164,2231.2999486923222,39
25.0,60.0,5,2.5,0.3,0.55,0.8,0.3,40,708.5001468658447,4629.999947547913,1228.0000448226929,5055.000042915344,32
16.0,80.0,7,1.0,0.0,0.65,0.95,0.35,40,228.00004482269287,1242.1500921249383,755.9998035430908,2977.4001359939593,39
25.0,60.0,7,0.5,0.7,0.675,0.85,0.5,40,87.99993991851807,1036.7500424385066,375.99992752075195,2066.55019521713,40
16.0,80.0,3,2.5,0.0,0.775,0.85,0.7,40,491.9999837875366,2060.600030422209,1216.0000801086426,3668.9998626708984,33
16.0,45.0,7,0.5,0.0,0.5,1.0,0.0,40,157.99987316131592,858.7501049041747,309.999942779541,2224.799990653989,40
16.0,45.0,10,2.5,0.5,0.75,1.0,0.5,40,483.99996757507324,3256.200098991395,487.99991607666016,3350.6000757217394,35
12.0,60.0,10,1.0,0.5,0.875,0.85,0.9,40,195.99997997283936,1233.350086212158,400.00009536743164,1728.4000873565674,39
25.0,60.0,7,1.5,0.7,0.675,0.95,0.4,40,285.9998941421509,4218.5999751091,292.00005531311035,4430.600094795227,35
